,index,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date,Year,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,lat,lon
260493,260493,321307,MINERS' COLFAX MEDICAL CENTER,203 HOSPITAL DRIVE,RATON,NM,87740,COLFAX,(575) 445-3661,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,Not Available,5.0,Not Applicable,Not Available,5.0,Not Available,5.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - State,Yes,,3,,Same as the national average,,Not Available,5.0,Same as the national average,,Not Available,16.0,Not Available,5.0,Same as the national average,,Not Available,5.0,36.862617,-104.442078
260586,260586,321308,CIBOLA GENERAL HOSPITAL,1016 E ROOSEVELT AVENUE,GRANTS,NM,87020,CIBOLA,(505) 287-5300,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,86,6.0,Not Applicable,83,6.0,14,6.0,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Government - Local,Yes,Y,4,,Not Available,5.0,Not Available,16.0,Above the national average,,Same as the national average,,Not Available,5.0,Same as the national average,,Not Available,5.0,35.161991,-107.827202
260679,260679,321309,MIMBRES MEMORIAL HOSPITAL,900 W ASH,DEMING,NM,88031,LUNA,(575) 546-5803,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,180,,18,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Proprietary,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,5.0,32.260921,-107.767715
260772,260772,321310,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,1397 WEIMER ROAD,TAOS,NM,87571,TAOS,(575) 758-8883,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,79,,Not Applicable,195,,20,,07/01/2018,06/30/2019,2020,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,5.0,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,36.368332,-105.576935
260865,260865,330003,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,(518) 471-3490,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,463,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Not Available,5.0,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,42.674091,-73.748505
260958,260958,330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,(914) 331-3131,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,441,,19,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,41.92691,-73.995682
261051,261051,330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,74,,Not Applicable,4589,,21,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,42.900818,-78.865837
261144,261144,330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,69,,Not Applicable,214,,10,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,40.929356,-73.897804
261237,261237,330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-2233,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,330,,36,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,3,,Same as the national average,,Not Available,5.0,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,42.754658,-78.131393
261330,261330,330009,BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION,1276 FULTON AVENUE,BRONX,NY,10456,BRONX,(212) 588-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,71,,Not Applicable,738,,8,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Proprietary,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,40.83165,-73.903534
261423,261423,330011,LOURDES HOSPITAL,169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,(607) 798-5111,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,1694,,35,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,42.091778,-75.936272
261516,261516,330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,76,,Not Applicable,1207,,23,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,42.65295,-73.775826
261609,261609,330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,QUEENS,(718) 262-6000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,73,,Not Applicable,514,,13,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,40.700256,-73.815788
261702,261702,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,KINGS,(718) 692-5302,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,72,,Not Applicable,713,,13,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,40.613911,-73.948502
261795,261795,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,75,,Not Applicable,3942,,30,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,41.693794,-73.935608
261888,261888,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NEW YORK,(212) 241-7981,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,75,,Not Applicable,699,,16,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,-1,-1
261981,261981,330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,67,,Not Applicable,1674,,21,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Government - Local,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,5.0,40.726406,-73.553749
262074,262074,330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10310,RICHMOND,(718) 818-1234,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,72,,Not Applicable,520,,15,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,40.635708,-74.105904
262167,262167,330030,NEWARK-WAYNE COMMUNITY HOSPITAL,111 DRIVING PARK AVENUE,NEWARK,NY,14513,WAYNE,(315) 332-2022,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,,Not Applicable,890,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Not Available,5.0,43.060497,-77.100937
262260,262260,330033,CHENANGO MEMORIAL HOSPITAL,179 NORTH BROAD STREET,NORWICH,NY,13815,CHENANGO,(607) 337-4111,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,238,,27,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,42.541248,-75.525894
262353,262353,330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,(631) 968-3000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,75,,Not Applicable,695,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,40.725754,-73.241417
262446,262446,330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,(315) 798-6000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,77,,Not Applicable,545,,22,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,43.09884,-75.27569
262539,262539,330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,(631) 351-2000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,502,,24,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,40.880672,-73.416389
262632,262632,330046,MOUNT SINAI ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,NEW YORK,NY,10019,NEW YORK,(212) 523-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,74,,Not Applicable,454,,16,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,40.770077,-73.987396
262725,262725,330047,ST MARY'S HEALTHCARE,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,MONTGOMERY,(518) 841-7101,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,865,,33,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,5.0,42.954575,-74.216644
262818,262818,330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,(845) 871-3391,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,81,,Not Applicable,945,,32,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,41.93552,-73.912621
262911,262911,330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,(718) 670-2000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,72,,Not Applicable,1478,,21,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,40.746964,-73.825714
263004,263004,330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,KINGS,(718) 250-8000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,67,,Not Applicable,601,,10,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,5.0,40.690018,-73.977463
263097,263097,330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,ALBANY,(518) 525-1550,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,80,,Not Applicable,3603,,29,,07/01/2018,06/30/2019,2020,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,42.657661,-73.80352
